File | Line number changed | Tag before | Tag after | Other h4s unchanged
---|---|---|---|---
portfolio/commercial/altitudex-sentosa-commercial.html | 282 | h4 | h3 | Yes
portfolio/commercial/catholic-centre-security-partnership.html | 300 | h4 | h3 | Yes
portfolio/commercial/em-services-call-centre-redhill.html | 273 | h4 | h3 | Yes
portfolio/commercial/hilton-singapore-orchard-fire-door.html | 308 | h4 | h3 | Yes
portfolio/commercial/scape-commercial.html | 301 | h4 | h3 | Yes
portfolio/commercial/scape-smart-booking-access.html | 280 | h4 | h3 | Yes
portfolio/commercial/st-engineering-mobility-cctv.html | 264 | h4 | h3 | Yes
portfolio/condominiums/clearwater-access-salto-partnership.html | 280 | h4 | h3 | Yes
portfolio/condominiums/clearwater-cctv-upgrade.html | 276 | h4 | h3 | Yes
portfolio/condominiums/high-oak-condominium-cctv.html | 256 | h4 | h3 | Yes
portfolio/condominiums/idyllic-suites-geylang-condo.html | 179 | h4 | h3 | Yes
portfolio/condominiums/light-cairnhill-condo.html | 179 | h4 | h3 | Yes
portfolio/condominiums/newton21-newton-condo.html | 162 | h4 | h3 | Yes
portfolio/condominiums/rezi-3two-condo.html | 274 | h4 | h3 | Yes
portfolio/condominiums/suites-cairnhill-intercom-lpr.html | 271 | h4 | h3 | Yes
portfolio/condominiums/the-verte-telok-kurau-condo.html | 152 | h4 | h3 | Yes
portfolio/condominiums/village-pasir-panjang-condo.html | 188 | h4 | h3 | Yes
portfolio/data-centres/fort-data-centre-access-upgrade.html | 267 | h4 | h3 | Yes
portfolio/data-centres/fort-st-engineering.html | 234 | h4 | h3 | Yes
portfolio/healthcare/sunlove-mental-wellness-centre-haig-road.html | 284 | h4 | h3 | Yes
portfolio/healthcare/surya-home.html | 293 | h4 | h3 | Yes
portfolio/industrial/cogent-logistics-hub-cctv.html | 294 | h4 | h3 | Yes
portfolio/industrial/cyrus-tech-industrial.html | 269 | h4 | h3 | Yes
portfolio/industrial/mitsubishi-elevator-face-access-bms.html | 273 | h4 | h3 | Yes
portfolio/industrial/multibase-construction-security-upgrade.html | 282 | h4 | h3 | Yes
portfolio/industrial/smartflex-tampines.html | 300 | h4 | h3 | Yes
portfolio/industrial/sta-compliance-imaging.html | 170 | h4 | h3 | Yes
portfolio/industrial/sta-inspection-industrial.html | 230 | h4 | h3 | Yes
portfolio/industrial/stmicroelectronics-loyang-perimeter-alarm.html | 282 | h4 | h3 | Yes
portfolio/institutions/catholic-centre-waterloo.html | 229 | h4 | h3 | Yes
portfolio/institutions/changi-airport-lpr-barriers.html | 265 | h4 | h3 | Yes
portfolio/institutions/cpf-maxwell-institution.html | 262 | h4 | h3 | Yes
portfolio/institutions/das-learning-centre-woodlands.html | 282 | h4 | h3 | Yes
portfolio/institutions/my-world-preschool-cctv.html | 282 | h4 | h3 | Yes
portfolio/institutions/sengkang-interim-bus-interchange.html | 301 | h4 | h3 | Yes
portfolio/institutions/sfx-retreat-centre-punggol.html | 263 | h4 | h3 | Yes
portfolio/managed-living/nursing-hostel-jalan-seh-chuan.html | 232 | h4 | h3 | Yes
portfolio/managed-living/scb-worker-dormitory-jalan-papan.html | 231 | h4 | h3 | Yes
portfolio/condominiums/country-grandeur-upper-thomson-condo.html | 179 | h4 | h3 | Yes
portfolio/condominiums/d-elias-pasir-ris-condo.html | 183 | h4 | h3 | Yes
