File | Description length | og:description matches | Within 120-160
---|---|---|---
portfolio/commercial/hilton-singapore-orchard-fire-door.html | 142 | Yes | Yes
portfolio/commercial/scape-commercial.html | 157 | Yes | Yes
portfolio/commercial/scape-smart-booking-access.html | 146 | Yes | Yes
portfolio/condominiums/hillview-park-cctv-upgrade.html | 138 | Yes | Yes
portfolio/condominiums/idyllic-suites-geylang-condo.html | 141 | Yes | Yes
portfolio/data-centres/fort-data-centre-access-upgrade.html | 133 | Yes | Yes
portfolio/healthcare/surya-home.html | 161 | Yes | No (161) 🚩
portfolio/industrial/hoy-san-industrial.html | 143 | Yes | Yes
portfolio/industrial/multibase-construction-security-upgrade.html | 134 | Yes | Yes
portfolio/industrial/smartflex-tampines.html | 156 | Yes | Yes
portfolio/industrial/stmicroelectronics-loyang-perimeter-alarm.html | 148 | Yes | Yes
portfolio/institutions/das-learning-centre-woodlands.html | 138 | Yes | Yes
portfolio/institutions/my-world-preschool-cctv.html | 149 | Yes | Yes
portfolio/institutions/sengkang-interim-bus-interchange.html | 142 | Yes | Yes
portfolio/residential/lengkok-mariam-landed-home.html | 150 | Yes | Yes
portfolio/residential/shelford-landed-home.html | 139 | Yes | Yes
portfolio/residential/siglap-bank-landed-home.html | 149 | Yes | Yes
portfolio/residential/upper-east-coast-road-landed-home.html | 139 | Yes | Yes
