File | Current title | Chars | Has Singapore | Has Securevision | Issue
---|---|---|---|---|---
portfolio/commercial/altitudex-sentosa-commercial.html | AltitudeX Sentosa — Commercial Security Case Study | Securevision | 65 | No | Yes | Too long, Missing Singapore
portfolio/commercial/catholic-centre-security-partnership.html | Catholic Centre Singapore Security Partnership | Securevision | 61 | Yes | Yes | Too long
portfolio/commercial/em-services-call-centre-redhill.html | EM Services Call Centre — CCTV & Access at One@Redhill | Securevision | 69 | No | Yes | Too long, Missing Singapore
portfolio/commercial/hilton-singapore-orchard-fire-door.html | Hilton Singapore Orchard — Fire Door Access Control | Securevision | 66 | Yes | Yes | Too long
portfolio/commercial/scape-commercial.html | SCAPE Singapore — AI Surveillance & Access Control | Securevision | 65 | Yes | Yes | Too long
portfolio/commercial/scape-smart-booking-access.html | SCAPE Singapore — Booking-to-Access Integration | Securevision | 62 | Yes | Yes | Too long
portfolio/commercial/st-engineering-mobility-cctv.html | ST Engineering Mobility — CCTV & Wireless Bridge Upgrade | Securevision | 71 | No | Yes | Too long, Missing Singapore
portfolio/condominiums/clearwater-access-salto-partnership.html | The Clearwater Bedok — Salto Access Control Partnership | Securevision | 70 | No | Yes | Too long, Missing Singapore
portfolio/condominiums/clearwater-cctv-upgrade.html | The Clearwater — IP CCTV Upgrade with Hikvision ColorVu | Securevision | 70 | No | Yes | Too long, Missing Singapore
portfolio/condominiums/country-grandeur-upper-thomson-condo.html | Country Grandeur — Condo Security Upgrade | Securevision | 56 | No | Yes | Missing Singapore
portfolio/condominiums/d-elias-pasir-ris-condo.html | D'Elias Condo Security Upgrade Singapore | Securevision Case Study | 66 | Yes | Yes | Too long
portfolio/condominiums/high-oak-condominium-cctv.html | High Oak Condominium — CCTV Upgrade with ColorVu | Securevision | 63 | No | Yes | Too long, Missing Singapore
portfolio/condominiums/hillview-park-cctv-upgrade.html | Hillview Park — Estate CCTV & Surveillance Upgrade | Securevision | 65 | No | Yes | Too long, Missing Singapore
portfolio/condominiums/idyllic-suites-geylang-condo.html | Idyllic Suites — Condo Security Upgrade | Securevision | 54 | No | Yes | Missing Singapore
portfolio/condominiums/light-cairnhill-condo.html | Light at Cairnhill — Condo Security Upgrade | Securevision | 58 | No | Yes | Missing Singapore
portfolio/condominiums/mergui-mansions-novena-condo.html | Mergui Mansions — Condo Security Upgrade | Securevision | 55 | No | Yes | Missing Singapore
portfolio/condominiums/newton21-newton-condo.html | Newton 21 Condo Security Upgrade Singapore | Securevision Case Study | 68 | Yes | Yes | Too long
portfolio/condominiums/rezi-3two-condo.html | Rezi 3Two Condominium — Security Case Study | Securevision Singapore | 68 | Yes | Yes | Too long
portfolio/condominiums/suites-cairnhill-intercom-lpr.html | Suites@Cairnhill — Akuvox Intercom & LPR Upgrade | Securevision | 63 | No | Yes | Too long, Missing Singapore
portfolio/condominiums/the-bale-intercom-cctv.html | The Bale Condo Security Upgrade Singapore | Securevision Case Study | 67 | Yes | Yes | Too long
portfolio/condominiums/the-lviv-newton-condo.html | L'viv Residences — Condo Security Upgrade | Securevision | 56 | No | Yes | Missing Singapore
portfolio/condominiums/the-verte-telok-kurau-condo.html | The Verte Condo Security Upgrade Singapore | Securevision Case Study | 68 | Yes | Yes | Too long
portfolio/condominiums/village-pasir-panjang-condo.html | Village @ Pasir Panjang — Condo Security Upgrade | Securevision | 63 | No | Yes | Too long, Missing Singapore
portfolio/data-centres/fort-data-centre-access-upgrade.html | FORT Data Centre — ZKTeco Migration & Hikvision Upgrade | Securevision | 70 | No | Yes | Too long, Missing Singapore
portfolio/data-centres/fort-st-engineering.html | FORT Data Centre — CCTV Upgrade & Access Expansion | Securevision | 65 | No | Yes | Too long, Missing Singapore
portfolio/healthcare/sunlove-mental-wellness-centre-haig-road.html | Sunlove Mental Wellness Centre — Security at Haig Road | Securevision | 69 | No | Yes | Too long, Missing Singapore
portfolio/healthcare/surya-home.html | Surya Home — Special-Needs Residence Security | Securevision | 60 | No | Yes | Missing Singapore
